title,release_date_clean,critic_score_scaled,audience_score_scaled
The Life of David Gale,2003-02-21,1.9,8.1
The Life of David Gale,2003-02-21,1.9,8.1
Old School,2003-02-21,6.0,8.6
Cradle 2 the Grave,2003-02-28,2.6,5.2
Poolhall Junkies,2003-02-28,3.3,8.7
Bringing Down the House,2003-03-07,3.4,4.9
Tears of the Sun,2003-03-07,3.4,6.9
Agent Cody Banks,2003-03-14,3.8,3.2
Bend It Like Beckham,2003-03-12,8.5,7.3
Willard,2003-03-14,6.4,5.1
Boat Trip,2003-03-21,0.7,3.6
Dreamcatcher,2003-03-21,2.8,3.5
Piglet's Big Movie,2003-03-21,7.0,6.4
View From the Top,2003-03-21,1.4,3.4
Assassination Tango,2003-03-28,4.7,3.3
Basic,2003-04-18,2.1,6.2
Blue Collar Comedy Tour: The Movie,2003-01-10,9.2,7.9
The Core,2003-03-28,3.9,3.4
Head of State,2003-03-28,3.0,4.6
Phone Booth,2003-04-04,7.2,6.4
What a Girl Wants,2003-04-04,3.6,6.2
Eddie Griffin: Dysfunktional Family,2003-04-04,4.3,7.7
House of 1000 Corpses,2003-04-11,2.2,6.5
Bulletproof Monk,2003-04-16,2.3,3.8
Chasing Papi,2003-04-16,1.4,4.0
A Mighty Wind,2003-04-16,8.7,7.5
Holes,2003-04-18,7.8,7.6
Malibu's Most Wanted,2003-04-18,3.1,5.4
Confidence,2003-04-25,6.9,7.0
The Good Thief,2003-04-16,7.7,6.2
Identity,2003-03-14,6.3,7.5
It Runs in the Family,2003-04-25,2.9,2.9
The Real Cancun,2003-04-25,3.4,3.0
The Dancer Upstairs,2003-05-02,6.4,7.6
The Lizzie McGuire Movie,2003-05-02,4.0,4.9
Marooned in Iraq,2003-04-25,9.3,8.2
Owning Mahowny,2003-05-02,7.8,7.5
X2,2003-05-02,8.5,8.5
Daddy Day Care,2003-05-09,2.7,4.8
The Man on the Train,2003-05-09,9.2,7.9
The Man on the Train,2003-05-09,9.2,7.9
The Shape of Things,2003-05-09,6.4,6.5
The Matrix Reloaded,2003-05-15,7.3,7.2
The Matrix Reloaded,2003-05-15,7.3,7.2
Down With Love,2003-05-16,6.0,6.2
The Spanish Apartment,2003-05-16,7.6,8.6
Sweet Sixteen,2003-05-16,9.7,8.8
Bruce Almighty,2003-05-23,4.8,5.7
The In-Laws,2003-05-23,3.3,4.0
Finding Nemo,2003-05-30,9.9,8.6
The Italian Job,2003-05-30,7.2,8.0
Wrong Turn,2003-05-30,4.1,5.4
The Animatrix,2003-06-03,8.9,7.8
The Animatrix,2003-06-03,8.9,7.8
2 Fast 2 Furious,2003-06-06,3.7,5.0
The Eye,2003-06-06,6.4,7.2
Love the Hard Way,2003-06-06,2.8,6.6
Whale Rider,2003-06-06,9.1,8.8
Dumb and Dumberer: When Harry Met Lloyd,2003-06-13,1.0,2.3
The Heart of Me,2003-06-06,5.0,6.1
The Heart of Me,2003-06-06,5.0,6.1
Hollywood Homicide,2003-06-13,3.0,2.7
Rugrats Go Wild,2003-06-13,4.0,3.9
Alex & Emma,2003-06-20,1.1,4.1
From Justin to Kelly,2003-06-20,0.8,3.9
Hulk,2003-06-20,6.3,2.9
28 Days Later,2003-06-27,8.7,8.5
Charlie's Angels: Full Throttle,2003-06-27,4.1,4.0
On-Line,2003-05-22,3.8,3.0
Gasoline,2003-07-02,4.0,2.1
"Legally Blonde 2: Red, White & Blonde",2003-07-02,3.6,3.9
Sinbad: Legend of the Seven Seas,2003-07-02,4.5,5.7
Swimming Pool,2003-07-02,8.3,6.7
Terminator 3: Rise of the Machines,2003-07-02,7.0,4.6
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,8.0,8.6
The Cuckoo,2003-06-27,8.7,8.9
The Holy Land,2003-07-11,5.2,7.8
The Housekeeper,2003-07-04,7.8,4.2
I Capture the Castle,2003-05-09,7.8,7.6
The League of Extraordinary Gentlemen,2003-07-11,1.7,4.4
Northfork,2003-07-11,5.7,6.6
Bad Boys II,2003-07-18,2.4,7.8
How to Deal,2003-07-18,2.7,6.4
Johnny English,2003-07-18,3.3,5.1
Dirty Pretty Things,2003-04-11,9.4,8.2
Masked and Anonymous,2003-07-24,2.5,4.5
Lara Croft Tomb Raider: The Cradle of Life,2003-07-25,2.4,4.4
Seabiscuit,2003-07-25,7.8,7.6
Spy Kids 3: Game Over,2003-07-23,4.5,2.5
American Wedding,2003-08-01,5.3,6.3
And Now... Ladies and Gentlemen,2003-08-08,4.7,5.6
Gigli,2003-08-01,0.6,1.4
The Magdalene Sisters,2003-08-15,9.1,8.9
The Secret Lives of Dentists,2003-08-01,8.5,5.8
The Secret Lives of Dentists,2003-08-01,8.5,5.8
Freaky Friday,2003-08-06,8.8,5.8
Seaside,2003-08-06,7.5,1.2
The Princess Blade,2003-08-08,5.7,5.4
Step Into Liquid,2003-08-15,8.0,9.2
S.W.A.T.,2003-08-08,4.8,5.2
American Splendor,2003-08-15,9.4,8.6
Freddy vs. Jason,2003-08-15,4.2,5.0
Open Range,2003-08-15,7.9,8.4
Passionada,2002-06-16,5.7,5.4
Uptown Girls,2003-08-15,1.3,6.1
Thirteen,2003-08-20,8.1,7.7
The Battle of Shaker Heights,2003-08-15,3.9,4.8
Marci X,2003-08-22,0.8,2.9
My Boss's Daughter,2003-08-22,0.8,2.3
Stoked: The Rise and Fall of Gator,2003-08-22,8.1,7.5
Jeepers Creepers 2,2003-08-29,2.4,3.7
Once Upon a Time in the Midlands,2003-08-29,5.1,4.5
Dickie Roberts: Former Child Star,2003-09-05,2.2,4.6
The Order,2003-09-05,1.0,3.8
Party Monster,2003-09-05,2.9,7.5
Matchstick Men,2003-09-12,8.3,7.4
Lost in Translation,2003-09-19,9.5,8.5
Once Upon a Time in Mexico,2003-09-12,6.6,6.4
Anything Else,2003-09-19,4.0,4.4
Cold Creek Manor,2003-09-19,1.2,2.3
The Fighting Temptations,2003-09-19,4.2,6.6
Secondhand Lions,2003-09-26,6.0,8.4
Underworld,2003-09-19,3.1,7.9
Duplex,2003-09-26,3.5,4.0
The Rundown,2003-09-26,7.0,6.6
The Rundown,2003-09-26,7.0,6.6
Under the Tuscan Sun,2003-09-26,6.2,7.8
Out of Time,2003-10-03,6.4,5.8
The School of Rock,2003-10-03,9.2,6.4
Wonderland,2003-10-17,3.4,6.5
Intolerable Cruelty,2003-10-10,7.6,4.8
Mystic River,2003-10-15,8.9,8.9
Pieces of April,2003-10-17,8.4,7.3
Runaway Jury,2003-10-17,7.3,7.5
The Texas Chainsaw Massacre,2003-10-17,3.7,5.8
Veronica Guerin,2003-10-17,5.3,6.9
In the Cut,2003-10-24,3.4,3.4
Beyond Borders,2003-10-24,1.4,7.2
Radio,2003-10-24,3.5,7.9
Scary Movie 3,2003-10-24,3.5,5.4
The Singing Detective,2003-11-07,3.9,4.0
Alien,1979-05-25,9.3,9.4
The Human Stain,2003-10-31,4.2,4.8
Shattered Glass,2003-11-14,9.2,7.9
Brother Bear,2003-11-01,3.7,6.6
The Matrix Revolutions,2003-11-05,3.4,6.0
The Matrix Revolutions,2003-11-05,3.4,6.0
Elf,2003-11-07,8.6,7.9
Love Actually,2003-11-14,6.4,7.2
Looney Tunes: Back in Action,2003-11-14,5.7,5.0
Master and Commander: The Far Side of the World,2003-11-14,8.5,8.0
Tupac: Resurrection,2003-11-14,7.8,9.0
21 Grams,2004-01-09,8.1,8.6
Dr. Seuss' The Cat in the Hat,2003-11-21,1.0,5.7
Gothika,2003-10-24,1.5,4.5
Bad Santa,2003-11-26,7.8,7.5
The Cooler,2003-12-19,7.7,6.9
The Haunted Mansion,2003-11-26,1.3,3.1
In America,2003-11-26,9.0,9.1
Timeline,2003-11-26,1.3,4.5
Honey,2003-12-05,2.1,7.1
The Last Samurai,2003-12-05,6.6,8.3
The Station Agent,2003-10-10,9.4,8.9
Girl With a Pearl Earring,2004-01-09,7.3,6.8
Love Don't Cost a Thing,2003-12-12,1.3,6.5
Something's Gotta Give,2003-12-12,7.2,6.9
Stuck on You,2003-12-12,6.1,3.5
The Lord of the Rings: The Return of the King,2003-12-03,9.4,8.6
The Lord of the Rings: The Return of the King,2003-12-03,9.4,8.6
Calendar Girls,2004-01-01,7.4,6.7
House of Sand and Fog,2003-12-26,7.4,8.3
Mona Lisa Smile,2003-12-19,3.4,6.0
Monster,2004-01-30,8.2,8.1
Cheaper by the Dozen,2003-12-25,2.4,5.6
Cold Mountain,2003-12-25,7.0,7.7
Paycheck,2003-12-25,2.7,4.5
Shrek 2,2004-05-19,8.9,6.9
Spider-Man 2,2004-06-30,9.3,8.2
The Passion of the Christ,2004-02-25,4.9,8.0
Meet the Fockers,2004-12-22,3.9,5.8
The Incredibles,2004-11-05,9.7,7.5
The Incredibles,2004-11-05,9.7,7.5
Harry Potter and the Prisoner of Azkaban,2004-05-31,9.0,8.6
The Day After Tomorrow,2004-05-28,4.5,5.0
The Bourne Supremacy,2004-07-23,8.2,9.0
National Treasure,2004-11-19,4.6,7.6
The Polar Express,2004-11-10,5.6,6.4
Chasing Liberty,2004-01-09,1.8,6.0
My Baby's Daddy,2004-01-09,0.6,5.0
Along Came Polly,2004-01-12,2.7,4.7
D.E.B.S.,2005-03-25,4.2,5.6
The Butterfly Effect,2004-01-23,3.4,8.1
Win a Date With Tad Hamilton!,2004-01-23,5.5,4.6
The Big Bounce,2004-01-29,1.5,2.4
The Perfect Score,2004-01-27,1.6,4.4
You Got Served,2004-01-30,1.4,6.9
Barbershop 2: Back in Business,2004-01-20,6.9,4.8
Catch That Kid,2004-02-06,1.3,4.7
Miracle,2004-02-02,8.1,9.0
50 First Dates,2004-02-13,4.5,6.5
Iron Jawed Angels,2004-02-15,5.6,8.9
Against the Ropes,2004-02-20,1.2,2.9
Clifford's Really Big Movie,2004-02-20,5.5,3.8
Confessions of a Teenage Drama Queen,2004-02-17,1.4,3.5
Eurotrip,2004-02-20,4.7,7.5
Welcome to Mooseport,2004-02-20,1.3,1.9
The Passion of the Christ,2004-02-25,4.9,8.0
Broken Lizard's Club Dread,2004-02-27,3.0,4.4
Twisted,2004-03-31,0.2,3.1
Hidalgo,2004-03-05,4.6,6.4
Starsky & Hutch,2004-03-05,6.3,4.9
Country of My Skull,2005-03-11,2.3,5.6
Agent Cody Banks 2: Destination London,2004-03-12,1.3,3.1
Secret Window,2004-03-12,4.5,6.5
Spartan,2004-01-31,6.5,6.2
Dawn of the Dead,2004-03-19,7.6,7.7
Eternal Sunshine of the Spotless Mind,2004-03-19,9.2,9.4
Taking Lives,2004-03-16,2.2,5.4
Dogville,2003-05-19,7.0,8.9
Jersey Girl,2004-03-26,4.3,4.8
The Ladykillers,2004-03-26,5.4,4.3
Never Die Alone,2004-01-19,2.6,6.1
Hellboy,2004-03-30,8.1,6.6
Home on the Range,2004-03-21,5.2,2.9
The Prince & Me,2004-04-02,2.9,5.9
The Prince & Me,2004-04-02,2.9,5.9
Walking Tall,2004-04-02,2.6,5.9
Johnson Family Vacation,2004-03-31,0.6,4.4
The Alamo,2004-03-27,2.9,4.6
Ella Enchanted,2004-04-09,5.1,5.7
The Whole Ten Yards,2004-04-07,0.4,4.0
Connie and Carla,2004-04-13,4.4,7.0
Kill Bill: Vol. 2,2004-04-16,8.4,8.9
13 Going on 30,2004-04-14,6.5,7.1
Man on Fire,2004-04-21,3.9,8.9
Bobby Jones: Stroke of Genius,2004-04-30,2.7,6.2
Godsend,2004-04-30,0.4,2.0
Laws of Attraction,2004-04-04,1.8,4.7
The Saddest Music in the World,2003-04-30,8.0,7.9
New York Minute,2004-05-01,1.1,4.7
Super Size Me,2004-05-07,9.2,7.2
Van Helsing,2004-05-03,2.4,5.7
Breakin' All the Rules,2004-05-14,3.1,5.7
Coffee and Cigarettes,2004-05-14,6.4,7.5
Troy,2004-05-13,5.3,7.3
Shrek 2,2004-05-19,8.9,6.9
Stateside,2004-02-27,2.4,6.0
Baadasssss!,2003-09-07,9.1,8.4
The Day After Tomorrow,2004-05-28,4.5,5.0
Raising Helen,2004-05-01,2.5,6.1
Saved!,2004-01-21,6.1,7.8
Soul Plane,2004-05-28,1.8,5.1
Donnie Darko,2001-10-26,8.7,8.0
Harry Potter and the Prisoner of Azkaban,2004-05-31,9.0,8.6
The Chronicles of Riddick,2004-06-11,2.9,6.5
Garfield: The Movie,2004-06-11,1.4,3.8
Napoleon Dynamite,2004-01-17,7.2,7.4
The Stepford Wives,2004-06-11,2.6,3.0
Around the World in 80 Days,2004-06-16,3.2,3.4
Dodgeball: A True Underdog Story,2004-06-18,7.1,7.6
White Chicks,2004-06-23,1.5,5.5
Fahrenheit 9/11,2004-06-23,8.2,7.0
The Notebook,2004-06-25,5.4,8.5
The Notebook,2004-06-25,5.4,8.5
Two Brothers,2004-06-12,7.8,7.5
Spider-Man 2,2004-06-30,9.3,8.2
America's Heart and Soul,2004-05-01,5.0,4.6
Before Sunset,2004-02-10,9.4,9.2
The Clearing,2004-01-02,4.3,3.2
The Clearing,2004-01-02,4.3,3.2
De-Lovely,2004-07-16,4.8,6.6
Anchorman: The Legend of Ron Burgundy,2004-07-09,6.6,8.6
Sleepover,2004-07-09,1.5,5.4
The Door in the Floor,2004-07-14,6.8,6.4
A Cinderella Story,2004-07-16,1.1,5.3
"I, Robot",2004-07-15,5.7,7.0
The Bourne Supremacy,2004-07-23,8.2,9.0
Catwoman,2004-07-19,0.8,1.8
A Home at the End of the World,2004-07-23,5.0,6.7
Garden State,2004-01-16,8.6,8.8
Harold & Kumar Go to White Castle,2004-07-30,7.5,8.0
She Hate Me,2004-07-30,1.9,5.9
The Manchurian Candidate,2004-07-30,8.0,6.3
Thunderbirds,2004-07-30,1.9,3.7
The Village,2004-07-30,4.4,5.7
Collateral,2004-08-05,8.6,8.4
Little Black Book,2004-08-06,2.2,3.7
Open Water,2003-10-26,7.1,3.3
The Princess Diaries 2: Royal Engagement,2004-08-11,2.6,5.9
The Princess Diaries 2: Royal Engagement,2004-08-11,2.6,5.9
Alien vs. Predator,2004-08-12,2.2,3.9
Exorcist: The Beginning,2004-08-20,1.1,2.7
Without a Paddle,2004-08-20,1.4,6.8
Anacondas: The Hunt for the Blood Orchid,2004-08-27,2.6,2.7
Suspect Zero,2004-08-27,1.8,3.8
5x2,2004-09-01,6.5,6.9
Vanity Fair,2004-09-01,5.1,5.0
The Cookout,2004-09-03,0.5,3.7
Paparazzi,2004-09-03,1.8,3.8
Warriors of Heaven and Earth,2003-11-01,6.8,5.6
Wicker Park,2004-07-04,2.7,7.9
Cellular,2004-09-10,5.6,5.8
Resident Evil: Apocalypse,2004-09-10,1.9,6.0
Saving Face,2005-05-27,8.8,8.8
Mr. 3000,2004-09-08,5.5,3.0
Wimbledon,2004-09-17,6.1,5.7
First Daughter,2004-09-24,0.8,4.2
The Forgotten,2004-09-24,3.1,3.6
The Last Shot,2004-09-24,6.2,3.2
The Last Shot,2004-09-24,6.2,3.2
The Motorcycle Diaries,2004-09-24,8.3,9.2
The Motorcycle Diaries,2004-09-24,8.3,9.2
Shaun of the Dead,2004-04-09,9.2,9.3
I Heart Huckabees,2004-09-10,6.4,7.5
Ladder 49,2004-10-01,4.1,8.1
Shark Tale,2004-10-01,3.5,4.8
Bride & Prejudice,2005-02-11,6.4,7.0
Taxi,2004-10-08,0.9,4.3
Around the Bend,2004-10-08,2.9,6.0
Friday Night Lights,2004-10-08,8.2,8.5
Raise Your Voice,2004-10-08,1.6,7.1
Being Julia,2004-10-15,7.7,7.4
The Final Cut,2004-10-15,3.7,4.5
Shall We Dance?,2004-10-15,4.7,5.7
Team America: World Police,2004-10-15,7.7,8.0
The Grudge,2004-10-22,4.1,4.6
The Grudge,2004-10-22,4.1,4.6
Sideways,2004-10-22,9.7,7.9
Surviving Christmas,2004-10-22,0.8,3.0
Vera Drake,2004-10-10,9.3,8.4
Birth,2004-10-29,3.9,4.3
Ray,2004-10-29,7.9,8.7
Saw,2004-10-29,5.0,8.4
Stage Beauty,2004-10-08,6.4,7.8
Alfie,2004-11-05,4.8,5.1
The Incredibles,2004-11-05,9.7,7.5
The Incredibles,2004-11-05,9.7,7.5
The Polar Express,2004-11-10,5.6,6.4
After the Sunset,2004-11-12,1.8,5.2
Finding Neverland,2004-11-24,8.3,8.7
Kinsey,2004-11-12,9.0,7.5
Seed of Chucky,2004-11-12,3.5,4.3
Bridget Jones: The Edge of Reason,2004-11-19,2.7,6.0
National Treasure,2004-11-19,4.6,7.6
The SpongeBob SquarePants Movie,2004-11-19,6.8,7.8
The SpongeBob SquarePants Movie,2004-11-19,6.8,7.8
Alexander,2004-11-24,1.6,3.5
Christmas With the Kranks,2004-11-24,0.5,3.9
A Very Long Engagement,2004-11-26,7.9,8.5
Closer,2004-12-03,6.8,8.1
House of Flying Daggers,2004-12-10,8.7,8.2
Blade: Trinity,2004-12-08,2.4,5.8
Ocean's Twelve,2004-12-10,5.5,6.0
Million Dollar Baby,2004-12-15,9.0,9.0
Beyond the Sea,2004-09-11,4.2,6.4
Flight of the Phoenix,2004-12-22,3.1,4.0
Spanglish,2004-12-17,5.4,6.0
Hotel Rwanda,2004-12-22,9.1,9.4
Meet the Fockers,2004-12-22,3.9,5.8
The Aviator,2004-12-25,8.7,7.9
Darkness,2004-12-25,0.5,3.1
Fat Albert,2004-12-25,2.3,4.4
The Assassination of Richard Nixon,2004-12-29,6.8,6.9
In Good Company,2005-01-14,8.2,5.4
Star Wars: Episode III - Revenge of the Sith,2005-05-19,7.9,6.6
Harry Potter and the Goblet of Fire,2005-11-18,8.8,7.4
War of the Worlds,2005-06-29,7.6,4.2
King Kong,2005-12-14,8.4,5.0
Wedding Crashers,2005-07-15,7.5,7.0
Charlie and the Chocolate Factory,2005-07-15,8.3,5.1
Batman Begins,2005-06-15,8.5,9.4
Madagascar,2005-05-27,5.5,6.7
Mr. & Mrs. Smith,2005-06-10,6.0,5.8
White Noise,2005-01-07,0.7,3.1
Coach Carter,2005-01-14,6.4,8.5
Elektra,2005-01-14,1.1,2.9
Racing Stripes,2005-01-14,3.5,4.2
Assault on Precinct 13,2005-01-19,6.0,4.8
The Phantom of the Opera,2005-01-21,3.3,8.4
Alone in the Dark,2005-01-28,0.1,1.1
Boogeyman,2005-02-04,1.3,2.1
The Wedding Date,2005-02-04,1.1,6.7
Hitch,2005-02-11,6.9,6.2
Pooh's Heffalump Movie,2005-02-11,8.0,6.8
Because of Winn-Dixie,2005-02-18,5.5,6.3
Constantine,2005-02-18,4.6,7.2
Son of the Mask,2005-02-18,0.6,1.6
Diary of a Mad Black Woman,2005-02-25,1.6,8.6
Man of the House,2005-02-25,0.9,4.6
Be Cool,2005-03-04,3.0,4.2
The Jacket,2005-03-04,4.4,7.3
The Jacket,2005-03-04,4.4,7.3
The Pacifier,2005-03-04,2.1,5.8
Robots,2005-03-11,6.4,5.4
Ice Princess,2005-03-18,5.2,5.8
The Ring Two,2005-03-18,2.1,3.3
Miss Congeniality 2: Armed and Fabulous,2005-03-24,1.5,4.3
Guess Who,2005-03-25,4.1,4.9
The Ballad of Jack and Rose,2005-03-25,4.7,6.1
Sin City,2005-04-01,7.6,7.8
The Upside of Anger,2005-03-11,7.4,6.3
Fever Pitch,2005-04-08,6.6,6.0
The Amityville Horror,1979-07-27,3.1,5.2
The Amityville Horror,2005-04-15,2.4,5.2
The Interpreter,2005-04-22,5.8,5.4
King's Ransom,2005-04-22,0.2,3.2
The Hitchhiker's Guide to the Galaxy,2005-04-29,6.0,6.5
XXX: State of the Union,2005-04-29,1.7,3.2
The Sandlot 2,2005-04-22,4.0,4.1
House of Wax,2005-05-06,2.8,4.3
Jiminy Glick in Lalawood,2005-05-06,2.3,3.3
Kingdom of Heaven,2005-05-06,4.0,7.2
Kicking & Screaming,2005-05-13,4.1,4.3
Mad Hot Ballroom,2005-05-13,8.4,8.3
Mindhunters,2005-05-13,2.4,5.7
Monster-in-Law,2005-05-13,1.8,5.5
Star Wars: Episode III - Revenge of the Sith,2005-05-19,7.9,6.6
Dominion: Prequel to the Exorcist,2005-05-20,2.9,2.5
The Longest Yard,2005-05-27,3.1,6.2
The Longest Yard,2005-05-27,3.1,6.2
Madagascar,2005-05-27,5.5,6.7
The Sisterhood of the Traveling Pants,2005-06-01,8.2,7.8
Cinderella Man,2005-06-03,8.0,9.1
Lords of Dogtown,2005-06-03,5.5,8.1
The Adventures of Sharkboy and Lavagirl,2005-06-10,2.0,3.3
Mr. & Mrs. Smith,2005-06-10,6.0,5.8
Batman Begins,2005-06-15,8.5,9.4
The Perfect Man,2005-06-17,0.6,5.8
Herbie: Fully Loaded,2005-06-22,4.1,3.9
Bewitched,2005-06-24,2.4,2.8
Land of the Dead,2005-06-24,7.4,5.2
War of the Worlds,2005-06-29,7.6,4.2
Rebound,2005-07-01,1.4,3.8
Dark Water,2005-07-08,4.7,2.8
Fantastic Four,2005-07-08,2.8,4.5
Charlie and the Chocolate Factory,2005-07-15,8.3,5.1
Wedding Crashers,2005-07-15,7.5,7.0
Bad News Bears,2005-07-22,4.8,4.6
The Devil's Rejects,2005-07-22,5.4,7.8
The Devil's Rejects,2005-07-22,5.4,7.8
Hustle & Flow,2005-07-22,8.2,8.2
The Island,2005-07-22,4.0,6.3
March of the Penguins,2005-06-24,9.4,8.1
November,2005-07-22,3.1,4.1
Must Love Dogs,2005-07-29,3.7,5.0
The Chumscrubber,2005-11-11,3.7,7.5
The Dukes of Hazzard,2005-08-05,1.4,4.6
Junebug,2005-08-03,8.6,7.3
Four Brothers,2005-08-12,5.3,8.0
The Great Raid,2005-08-12,3.8,7.0
Supercross: The Movie,2005-08-17,0.5,6.2
Valiant,2005-08-19,3.2,2.9
The Brothers Grimm,2005-08-26,3.8,3.9
The Cave,2005-08-26,1.2,2.8
Undiscovered,2005-08-26,0.8,4.8
The Constant Gardener,2005-08-31,8.3,8.2
A Sound of Thunder,2005-09-02,0.6,1.8
Transporter 2,2005-09-02,5.2,5.8
Underclassman,2005-09-02,0.6,3.4
Thumbsucker,2005-09-16,7.1,7.1
The Exorcism of Emily Rose,2005-09-09,4.5,6.0
The Man,2005-09-09,1.2,4.1
Cry Wolf,2005-09-16,2.3,5.1
Just Like Heaven,2005-09-16,5.4,7.5
Lord of War,2005-09-16,6.2,8.5
Tim Burton's Corpse Bride,2005-09-23,8.4,7.7
Dirty Love,2005-09-23,0.6,6.8
Flightplan,2005-09-23,3.7,4.8
Roll Bounce,2005-09-23,6.6,7.0
The Greatest Game Ever Played,2005-09-30,6.3,8.2
A History of Violence,2005-09-30,8.8,7.6
Into the Blue,2005-09-30,2.1,5.7
Little Manhattan,2005-09-30,7.7,8.6
Serenity,2005-09-30,8.2,9.1
The Squid and the Whale,2005-10-05,9.2,8.1
The Gospel,2005-10-07,3.2,7.5
In Her Shoes,2005-10-07,7.4,6.6
Two for the Money,2005-09-23,2.2,4.8
Waiting ...,2005-10-07,3.0,7.5
Domino,2005-10-14,1.8,5.6
Elizabethtown,2005-10-14,2.8,6.6
The Fog,2005-10-14,0.4,1.9
"The Prize Winner of Defiance, Ohio",2005-09-30,6.0,7.4
Doom,2005-10-21,1.8,3.4
Dreamer: Inspired by a True Story,2005-10-16,6.4,7.8
Take Me Home Tonight,2011-03-04,2.8,4.2
North Country,2005-10-21,7.0,7.6
Shopgirl,2005-10-21,6.1,5.8
Stay,2005-10-21,2.6,6.9
The Legend of Zorro,2005-10-28,2.8,4.8
Prime,2005-10-28,5.0,5.2
Saw II,2005-10-28,3.7,5.9
The Weather Man,2005-10-28,6.0,5.6
Chicken Little,2005-11-04,3.7,4.7
"Good Night, and Good Luck.",2005-10-07,9.3,8.3
Get Rich or Die Tryin',2005-11-09,1.7,7.0
Derailed,2005-11-11,2.1,5.8
"Kiss Kiss, Bang Bang",2005-11-11,8.6,8.7
Zathura,2005-11-11,7.6,5.1
Harry Potter and the Goblet of Fire,2005-11-18,8.8,7.4
Walk the Line,2005-11-18,8.2,9.0
Bee Season,2005-11-11,4.4,3.5
The Ice Harvest,2005-11-23,4.7,4.3
In the Mix,2005-11-23,1.3,5.0
Just Friends,2005-11-23,4.2,7.1
"Yours, Mine & Ours",2005-11-23,0.6,5.1
Brokeback Mountain,2005-12-09,8.8,8.2
Syriana,2005-12-09,7.3,6.7
King Kong,2005-12-14,8.4,5.0
The Family Stone,2005-12-16,5.2,6.3
Cheaper by the Dozen 2,2005-12-21,0.7,5.7
Fun With Dick and Jane,2005-12-21,2.9,4.9
Memoirs of a Geisha,2005-12-23,3.6,8.3
Munich,2006-01-06,7.8,8.3
Transamerica,2005-12-02,7.7,8.3
Mrs. Henderson Presents,2006-02-03,6.8,7.2
New World,2013-03-22,6.3,8.6
Rumor Has It ...,2005-12-25,2.1,4.1
Match Point,2005-12-28,7.7,8.1
Matador,1986-03-07,9.3,7.8
Pirates of the Caribbean: Dead Man's Chest,2006-07-07,5.3,7.2
Night at the Museum,2006-12-22,4.2,6.7
Cars,2006-06-09,7.5,8.0
The Da Vinci Code,2006-05-19,2.5,5.7
Superman Returns,2006-06-28,7.4,6.0
Happy Feet,2006-11-17,7.6,7.0
Casino Royale,2006-11-17,9.4,9.0
The Pursuit of Happyness,2006-12-15,6.7,8.7
BloodRayne,2005-10-23,0.4,1.7
Hostel,2006-01-06,5.9,5.3
End of the Spear,2006-01-20,4.2,8.2
Underworld: Evolution,2006-01-20,1.7,7.2
Wristcutters: A Love Story,2007-10-19,6.7,8.2
Annapolis,2006-01-27,1.0,6.0
Nanny McPhee,2006-01-27,7.4,6.4
When a Stranger Calls,2006-02-03,0.9,4.3
Final Destination 3,2006-02-10,4.3,5.7
Firewall,2006-02-10,1.9,3.7
The Pink Panther,2006-02-10,2.1,5.1
Eight Below,2006-02-17,7.3,7.9
Freedomland,2006-02-17,2.4,2.5
Madea's Family Reunion,2006-02-24,2.6,9.3
16 Blocks,2006-03-03,5.5,5.7
Aquamarine,2006-03-03,5.3,6.2
Failure to Launch,2006-03-10,2.3,5.2
The Hills Have Eyes,2006-03-10,5.2,5.8
The Hills Have Eyes,2006-03-10,5.2,5.8
The Libertine,2005-11-25,3.4,5.8
The Shaggy Dog,2006-03-10,2.6,3.9
She's the Man,2006-03-17,4.4,7.9
V for Vendetta,2006-03-17,7.3,9.0
Inside Man,2006-03-24,8.6,8.5
Larry the Cable Guy: Health Inspector,2006-03-24,0.5,5.2
ATL,2006-03-31,6.2,8.6
Basic Instinct 2,2006-03-31,0.6,2.7
Slither,2006-03-31,8.7,6.3
The Benchwarmers,2006-04-07,1.3,6.4
Friends With Money,2006-01-19,7.2,4.0
Lucky Number Slevin,2006-04-07,5.2,8.7
Phat Girlz,2006-04-07,2.1,6.5
Take the Lead,2006-04-07,4.4,7.7
Hard Candy,2005-01-25,6.7,7.7
Scary Movie 4,2006-04-14,3.4,5.1
The Wild,2006-04-14,1.9,3.6
American Dreamz,2006-04-21,3.9,3.1
The Sentinel,2006-04-21,3.5,4.1
Silent Hill,2006-04-21,3.2,6.3
Akeelah and the Bee,2006-04-28,8.6,8.1
RV,2006-04-28,2.4,4.5
Stick It,2006-04-28,3.2,7.3
United 93,2006-04-28,9.0,8.3
An American Haunting,2006-05-05,1.3,3.5
Art School Confidential,2006-05-05,3.6,4.8
Hoot,2006-05-05,2.6,5.4
Just My Luck,2006-05-12,1.4,4.8
Poseidon,2006-05-12,3.3,4.3
The Da Vinci Code,2006-05-19,2.5,5.7
Over the Hedge,2006-05-19,7.5,7.1
See No Evil,2006-05-19,1.0,5.0
An Inconvenient Truth,2006-05-24,9.3,7.9
The Break-Up,2006-06-02,3.4,4.6
The Omen,2006-06-06,2.6,4.0
Cars,2006-06-09,7.5,8.0
The Fast and the Furious: Tokyo Drift,2006-06-16,3.7,6.9
The Lake House,2006-06-16,3.5,7.3
The Lake House,2006-06-16,3.5,7.3
